course_code,section_name,section_dept_code,teacher_username,class_date,period_number,syllabus_covered
CS301,NM_CSE_A2,CSE,teacher_cse1_nmamit,2025-08-15,1,Introduction to Data Structures
CS301,NM_CSE_A2,CSE,teacher_cse1_nmamit,2025-08-15,2,Arrays and Linked Lists
CS302,NM_CSE_A2,CSE,teacher_cse2_nmamit,2025-08-15,1,Database Fundamentals
CS302,NM_CSE_A2,CSE,teacher_cse2_nmamit,2025-08-15,2,SQL Basics
CS303,NM_CSE_A2,CSE,teacher_cse1_nmamit,2025-08-15,1,Computer Architecture Basics
CS303,NM_CSE_A2,CSE,teacher_cse1_nmamit,2025-08-15,2,Processor Design
CV301,NM_CV_A2,CV,teacher_cv1_nmamit,2025-08-15,1,Structural Analysis Fundamentals
CV301,NM_CV_A2,CV,teacher_cv1_nmamit,2025-08-15,2,Load Analysis
ME301,NM_MECH_A2,MECH,teacher_mech1_nmamit,2025-08-15,1,Machine Design Principles
ME301,NM_MECH_A2,MECH,teacher_mech1_nmamit,2025-08-15,2,Design Calculations
CS701,NM_CSE_A4,CSE,teacher_cse1_nmamit,2025-08-15,1,Software Engineering Introduction
CS701,NM_CSE_A4,CSE,teacher_cse1_nmamit,2025-08-15,2,SDLC Models
CS702,NM_CSE_A4,CSE,teacher_cse2_nmamit,2025-08-15,1,Machine Learning Basics
CS702,NM_CSE_A4,CSE,teacher_cse2_nmamit,2025-08-15,2,Supervised Learning
